X,Y,Z,Material,Classification
0.3377657243261609,13.664064125597488,-48.726019533206795,A,Good
-13.090594438613504,11.585507079380523,-293.55684048051205,A,Good
-2.431208203458967,25.79920469598888,-258.82654874842694,A,Good
0.08336812467055665,9.965546035456164,-654.5799357724633,A,Good
-14.079304728356213,7.347646722249273,-933.6548511427471,A,Good
-7.359722228047742,3.3638421217041383,-307.15759680632823,A,Good
-2.897021012156145,7.45722907155044,-774.2320729547782,A,Good
-5.913413869682778,29.539969161225812,-42.77647628572777,A,Good
-12.06085836436178,20.102607428000905,-381.62337189295977,A,Good
-9.593042233865507,3.3884240844653064,-300.42761718504744,A,Good
-4.175630353907938,29.78550333747061,-123.54903435407061,A,Good
-1.808007873763108,15.347598067334928,-342.5078258692183,A,Good
-12.398928648013356,32.42858300148151,-871.2371217047655,A,Good
-6.203893966450414,31.197335115174397,-969.35181734096,A,Good
-15.817899874763363,11.158241340095937,-562.3727240238788,A,Good
-2.4036349043665677,28.481256658576044,-942.4118743023666,A,Good
-11.360099290616205,23.664483134585353,-42.119625676875216,A,Good
-5.461938489984416,21.50630636054929,-806.4059370139482,A,Good
-14.240042192133165,8.815762181538041,-940.232491437845,A,Good
-8.777714427449077,7.7335694275409566,-636.4506578482003,A,Good
-4.371523716006912,31.58020582675021,-784.0173656690961,A,Good
-5.858121273420904,6.171707970435122,-29.139661331137518,A,Good
-15.426052737519118,23.28944525992258,-481.9670683048382,A,Good
-13.239353555947865,9.989177009995299,-126.9862711226026,A,Good
-0.9207770313015828,9.19103455984008,-458.3995062873594,A,Good
-5.234039703761335,22.75396161619617,-655.2643912197464,A,Good
-0.14435826864453105,2.4552011547094246,-558.0403851428857,A,Good
-0.023517980307188324,26.67747402970235,-329.21681619238655,A,Good
-14.532432898122542,32.53545595411666,-800.6708044202957,A,Good
-5.393616890568204,1.1199352381483791,-273.2657545572712,A,Good
-2.8034474305539447,16.712310624433858,-867.8436760076705,A,Good
-9.223587330110416,8.550689045696778,-1000.0754575704275,A,Good
-4.586880570059236,15.715945249152885,-599.3603628796768,A,Good
-10.382118554806471,20.05592530224584,-542.2197948590149,A,Good
-3.458645286605371,22.695822758330692,-44.53898265306077,A,Good
-9.399233334302433,5.1331044305301745,-949.2361992902819,A,Good
-12.928074726734335,29.74703009049668,-218.69372643509485,A,Good
-13.349880803514868,31.04775552495299,-584.8846510728304,A,Good
-9.895719820007802,14.08675648154291,-771.7391922559332,A,Good
-4.160284103743244,31.387153591161663,-18.07325146543758,A,Good
-5.4150241245806185,12.895483045206348,-902.8732093279463,A,Good
-14.732865551362442,17.916520167677568,-184.31137410928795,A,Good
-2.0188255529607204,16.259858639982554,-567.3319418010385,A,Good
-11.975184107006015,26.495305502577583,-703.5235460611606,A,Good
-6.468900476339947,4.78859916220895,-52.009817353742164,A,Good
-4.740845957362966,13.568407922499759,-279.8833623829313,A,Good
0.1597763417256921,24.892749889261204,-520.2725493291189,A,Good
-14.279611724936592,1.2565785563649072,-396.4804763179842,A,Good
-9.883820766375639,11.160262755450677,-488.8763073340225,A,Good
-5.699377923048159,30.22171166680749,-236.00408774548964,A,Good
-10.74565136878891,32.879600191196175,-431.16018525021957,A,Good
-9.029997999137555,20.75409895497739,-143.72597603905865,A,Good
-10.504917633263421,27.99810175808635,-474.3196271662289,A,Good
-8.668060571606741,30.8510264493096,-234.53302635824843,A,Good
-8.500145386974383,33.55694284494142,-894.6517728433837,A,Good
-7.03429397813313,23.01851393456736,-471.83800774106646,A,Good
-15.389289390164604,9.014678283128589,-788.5410645133685,A,Good
-14.810589564170522,17.7954591827165,-278.70915233510493,A,Good
-3.21236607844323,3.16351499780723,-619.1775152138974,A,Good
-3.330338560979065,21.935423000987317,-959.2865925482868,A,Good
-13.127789737526697,11.287854778614282,-121.63552485381047,A,Good
-13.649442956619119,11.063049917235865,-178.8325968343065,A,Good
-12.354678382923124,16.767774569075844,-268.0985939144639,A,Good
-3.483356898268637,8.373014657480713,-21.994805203254487,A,Good
-8.09073196533361,30.84370559092931,-27.847063864630968,A,Good
-9.906958452524394,29.441915098494647,-57.03974022410671,A,Good
-4.655187659472004,24.748426467393934,-737.3100404878234,A,Good
0.35651581689899814,1.0191820555646416,-383.3999208651078,A,Good
-14.412306877820821,33.39888379219803,-966.082329140814,A,Good
-13.354719513162927,15.977344935773356,-529.6499638789489,A,Good
-14.627210018246831,11.684824432235018,-856.1386875672562,A,Good
-12.998200801022106,27.648442029473944,-769.6347874598227,A,Good
-4.577314382476894,28.529239414847048,-868.474129886072,A,Good
-5.333072138978006,33.32199752917995,-748.9679107522438,A,Good
-11.450996595687482,5.0358109261564366,-1010.8465473733568,A,Good
-12.235060455274766,15.231859230555681,-823.7210740233336,A,Good
-1.51454598919317,14.034692333208081,-899.861213499515,A,Good
-9.02976147845902,7.869904280495156,-110.24953255415016,A,Good
