X,Y,Z,Material,Classification
-6.665960398581523,21.865896707592896,-408.77839253630134,B,Good
-2.359872127927755,19.647666394310505,-839.1853056262728,B,Good
-0.12269719565981063,13.94880312321375,-774.5030215130562,B,Good
-8.1354960420652,3.7529594027267095,-647.5435460180734,B,Good
-2.6556373900954204,20.235816676993956,-142.4956063592225,B,Good
-4.472559185197028,15.177023616009041,-537.2645271086353,B,Good
-1.9407393524056342,5.751630532071722,-87.31847527394484,B,Good
-8.8377377550132,17.556314010265865,-772.1889781749442,B,Good
-5.29811489447225,15.711682942009928,-241.67540105743308,B,Good
-3.186361442823272,14.875930931895185,-427.8904142418312,B,Good
-5.700478500425053,23.38672867689319,-500.72111255644563,B,Good
-7.106505367068708,8.258837527828748,-157.27708077142677,B,Good
-7.63833321998054,5.929654135934992,-269.26473472078294,B,Good
-0.32773224449525173,7.949254184447659,-333.97693022341593,B,Good
-2.578333344935279,10.640970801084999,-770.0194955589343,B,Good
-7.576808433877709,6.381349114528845,-89.02034235280678,B,Good
-9.995832336766043,16.282845131949834,-568.1691049842141,B,Good
-0.8160794624416141,22.693236289815285,-850.1200457391856,B,Good
-9.083671428240129,3.3337498883016146,-841.6591160529827,B,Good
-3.8756760653825904,16.28889601007222,-638.8589382736793,B,Good
-6.097777896081951,23.289208290855978,-783.7846911916349,B,Good
-3.610812025514644,8.37304271501452,-396.71590735186305,B,Good
-4.4975558102387705,8.041385917764526,-640.4503340058432,B,Good
-6.796070879955013,6.674616206176946,-994.1130297116256,B,Good
-8.02946813728277,4.0616411300411634,-239.84015158913235,B,Good
-9.742164683770298,14.83234472365711,-863.3457058800809,B,Good
-7.1468963287590235,10.923160381445854,-1002.6321733643832,B,Good
-3.285162470428708,22.561452615379523,-828.859414043463,B,Good
-6.974019447999272,14.656597934670847,-201.42782087982675,B,Good
-4.28998243698936,7.81987234872312,-338.56415173418713,B,Good
-4.841424829135128,10.669385187502153,-427.07162632904544,B,Good
-0.9209552203125391,17.083233828666735,-918.1996631199013,B,Good
0.8191896181665008,19.518026112195113,-185.40657411849963,B,Good
-0.542682222804908,6.353734724937013,-301.33241073093416,B,Good
-5.2573996143769355,23.727127527356892,-372.18506171666047,B,Good
-6.40900288951007,15.67638927693005,-761.0256428854249,B,Good
-2.425992911219086,2.360400651772231,-703.0190335362768,B,Good
-1.3795326967127366,14.472546928760927,-961.90861872956,B,Good
-4.788456183326156,10.420532374934067,-38.75755172426523,B,Good
-5.4786724513224385,22.110292114099146,-315.2385406785111,B,Good
0.7618372542458349,19.396171067607774,-587.5349833030693,B,Good
-6.423841906252209,22.82307289349687,-421.2454339001165,B,Good
-8.076137914266155,4.230923351359486,-816.8718846352886,B,Good
-8.887613427043876,1.1696201805301563,-403.54365643133883,B,Good
-8.160113536742253,5.340741771080495,-476.3421213761259,B,Good
-6.424715789175632,11.365403655251697,-845.1574447556663,B,Good
-3.1759351444191113,17.455430554947625,-749.7216197041786,B,Good
-4.894995144810598,5.951054160630534,-106.4279426772531,B,Good
0.9878153862722723,18.243996541284364,-41.399212931546,B,Good
-8.429577166567999,22.437878568086727,-332.46098468487185,B,Good
-6.0761975125210785,20.931173961990353,-326.5336585209644,B,Good
-9.17137347287676,3.5171741955192672,-446.5000636864396,B,Good
-4.686572129127709,2.4966800593760077,-971.3751087123196,B,Good
-1.1520363278698422,19.729230682794153,-659.5489058599911,B,Good
-6.103276238940204,9.707766046554616,-804.4046264434007,B,Good
-9.263003334686976,21.046463181721105,-764.7086591215582,B,Good
-8.237447997099766,11.703937232480195,-976.9625844954599,B,Good
-4.157182044554746,22.590858895511715,-418.0755195127052,B,Good
-9.574131301876626,21.624411081135744,-433.30483818378036,B,Good
-9.316498324344797,2.338214709976114,-541.894784329347,B,Good
-0.2058264502238174,15.154780935302,-32.87081141233125,B,Good
-0.6224239103970639,11.277270915636661,-904.2586759688518,B,Good
-0.9477130183448654,18.88322297707926,-490.4865017412899,B,Good
-0.8864064610555396,8.01002431246819,-61.61232455546303,B,Good
-6.561518635195803,14.366127019844205,-653.8255278489482,B,Good
-4.635370060669709,8.338269037178787,-266.4692791803857,B,Good
-0.14789267626938063,14.703136283830943,-122.8197852086563,B,Good
-4.303367660921839,1.3996580237815905,-855.331612221014,B,Good
-6.742192383825609,21.033607172359446,-708.5693735605437,B,Good
-1.654860535258246,3.2315876972590942,-433.65451741476863,B,Good
-3.537801572218336,6.783155468254851,-768.9376034277441,B,Good
-2.7557564877319924,16.152197755397303,-983.3533784547567,B,Good
-8.298375063072745,5.301755493065528,-935.5908652910723,B,Good
-3.833866214279256,22.460401832095723,-536.4037711983876,B,Good
-3.5449465443998296,5.629921449991905,-286.6608837946102,B,Good
-9.562250256862423,8.721329939686314,-160.70108895541773,B,Good
-4.8865118394971825,23.317854734101562,-684.8825171891355,B,Good
-7.839237964622344,17.889912734445552,-435.2233513922265,B,Good
-1.6485097479282445,2.9883412570318875,-929.3431911707522,B,Good
-5.612427386485744,12.923655096014151,-166.9645361107863,B,Good
-7.602079391413589,20.511153752806162,-180.79643418153978,B,Good
-7.239400730971752,16.830191474748958,-631.1906450221397,B,Good
-3.5861605875490783,19.06121148543026,-310.0214000723961,B,Good
-1.7378033390154126,15.88921601314049,-742.3188428287299,B,Good
-6.093430738715886,9.793555994221125,-123.44961005461892,B,Good
-4.487474859333156,10.047540179719325,-904.8293908795363,B,Good
-3.6841230106861165,18.00747524452104,-306.20426621039076,B,Good
-1.9544613866138754,13.140593335161844,-376.98767469295626,B,Good
-0.7834976542135603,12.924507970977531,-629.7923608696872,B,Good
-9.243308010209665,13.758126540639324,-492.64075259757374,B,Good
-0.7626663836676038,2.6266545332212097,-892.3490876062731,B,Good
-0.4733526369678618,10.709580478066437,-487.1763135202831,B,Good
-0.28829080398881324,5.658970468011571,-733.6444089408906,B,Good
-5.271885006721749,18.096119313951778,-267.1700484255156,B,Good
-0.42303141228564556,12.419451458656965,-665.0457930218942,B,Good
-6.037237441775233,9.189938430829441,-959.515425011417,B,Good
-4.999239721125948,14.26167780823452,-718.3889599836084,B,Good
-9.170095874014322,10.255232273001083,-293.05527103399083,B,Good
0.2771467485341166,3.659612088985952,-519.7134880836165,B,Good
-9.574585770389216,7.204381394121736,-595.4454417421903,B,Good
-2.0302510010901385,7.279486993116951,-363.16789018748455,B,Good
-6.241030446058449,3.8740125241649466,-545.5980836958336,B,Good
-5.051016674313693,10.140409633319804,-67.6025280694455,B,Good
-0.9543433715686902,17.29796899954114,-1.3576152105298434,B,Good
-5.718390651027901,10.926998671344297,-971.9687251854006,B,Good
-8.61661857401224,8.506506792798582,-71.36151743436767,B,Good
-5.249508013426026,1.5195033290575317,-386.7194096417104,B,Good
-5.4021654694053645,5.303113826968453,-726.940758627866,B,Good
-3.7216450556105345,5.952936898522772,-692.1154942727437,B,Good
-6.146236596131727,22.031893648415647,-469.41923317387864,B,Good
