X,Y,Z,Material,Classification
-9.983860218397464,8.238454902145378,-519.749779121683,C,Good
-12.082496558277658,9.088218385662149,-759.4409641283326,C,Good
0.5569943839013813,5.048032428863263,-197.4529282515773,C,Good
-11.876888714380705,1.3724087327095305,-908.2888585831433,C,Good
-11.448206830968061,8.473519138940452,-511.17616888719647,C,Good
-12.049859775408645,8.765444711129442,-258.1763441180567,C,Good
-2.168736588011889,5.10399283867561,-106.94164845086243,C,Good
-4.733022630581535,4.4148181631530035,-255.76830782959428,C,Good
-2.882545758703051,8.27341535302578,-737.7215106223969,C,Good
-6.3272072646031,4.092924705161507,-751.34978192666,C,Good
-12.222726629805354,5.102859352120797,-562.5948324391493,C,Good
-9.18329411840255,4.669009473082542,-586.403208937503,C,Good
-0.989344996395614,2.812895516402186,-159.38474538582807,C,Good
-2.0113771859809795,2.110739044612574,-795.0320904285633,C,Good
-7.653929537080256,1.3278772999208517,-529.501369168335,C,Good
-4.880327327820494,7.121182363362193,-705.2049866537811,C,Good
-12.459462384001615,7.636607235084368,-171.3240552173628,C,Good
-5.109628099683769,10.663482225328359,-415.7637229195012,C,Good
-8.699258939592454,1.5430331117950384,-776.0176190373161,C,Good
-10.623165751602745,3.74721401773291,-29.98437291310256,C,Good
-3.2563618911219745,7.261014766828415,-98.88012988013566,C,Good
-6.312327100861233,4.421461345656968,-543.8319608306447,C,Good
-0.43764358130744974,6.600290046571307,-858.0909379432564,C,Good
-8.997280781554817,6.013567255908006,-601.153034877555,C,Good
-10.27967711576259,3.771101102120306,-990.3551619380377,C,Good
-3.5902572056153836,5.577799337775781,-944.1293859792631,C,Good
-1.6208930754924555,3.9086607008569523,-686.3193438936883,C,Good
-11.223009566245567,10.564592178555012,-195.72025760269753,C,Good
-11.505508412164284,4.688412218999022,-388.70529219419313,C,Good
-12.296162950058749,5.990685890687936,-524.347505816443,C,Good
-6.9888753448165275,7.562130562333213,-537.7159519864874,C,Good
-1.7160238896212245,9.836642729376969,-159.84294960357033,C,Good
-4.212809974420951,1.5897927911961904,-853.1814107148188,C,Good
-11.124709646870908,3.6764828338499633,-295.53262149505485,C,Good
-7.790314958922463,7.810943247638486,-924.7207851405886,C,Good
0.2898171979871851,8.297742672326157,-394.9700699251109,C,Good
-4.6733327135220035,8.114032536229134,-348.3952003957153,C,Good
-9.092592040923229,7.912342335669447,-496.0624167550169,C,Good
-8.453933590832047,7.379640914033734,-772.3217418478978,C,Good
-9.313558482033773,3.4499997078144986,-636.2518465941608,C,Good
-1.389889182290279,6.469432822896003,-580.3588813072959,C,Good
-4.6984406482807195,8.192347036294201,-490.79641241959894,C,Good
-8.449890858502137,6.097508091888813,-392.8920957353233,C,Good
-5.889064209543071,4.195273164645047,-51.057873163671275,C,Good
-4.132068997667291,9.86148942772835,-67.99951170848908,C,Good
-9.444453212039312,5.1855352916169055,-642.719972044086,C,Good
0.5789099732813199,5.821515029111176,-839.3908782489774,C,Good
-5.982014281422188,9.339456277235291,-503.34998632126917,C,Good
-1.5917308176923566,7.4915575010982725,-535.1600749097329,C,Good
-10.018950856427711,8.22016318816524,-206.76860453334302,C,Good
-0.19894922387809721,6.389717965397929,-21.596217645127354,C,Good
-7.804784371402353,5.270122801206604,-374.09530213787923,C,Good
-1.6617654166290272,8.416740879668914,-161.81870412031492,C,Good
-8.257439120582841,5.851130187255619,-923.6395308679329,C,Good
-5.263080170053097,1.5720957265304776,-198.65487840719595,C,Good
-11.401155713265563,6.297090286983124,-124.42296141879012,C,Good
-0.6100490368491123,3.5103160878957427,-740.5621505385511,C,Good
-9.363555450630606,2.621665255290756,-912.524929419556,C,Good
-5.852874238178653,6.558237344836606,-733.5998573424997,C,Good
-10.813417994369356,7.558624302684919,-336.00726636936383,C,Good
-10.784581566235618,5.78988966981397,-293.716305360556,C,Good
-12.314063212335894,1.9504189727024315,-381.4897310168842,C,Good
0.9262955122527998,4.963778890963639,-501.127725572735,C,Good
-1.813000774310387,5.350508031280151,-853.9292386381836,C,Good
-8.6017350239702,10.872130650243996,-927.8996617004859,C,Good
-6.089987660968042,6.309939012245177,-489.15697615890883,C,Good
-9.288141711620558,4.0328304218530135,-507.829177185037,C,Good
0.37225687528930784,9.619067054734042,-556.082230883351,C,Good
-9.527350749091053,9.498866038158862,-259.22599002744016,C,Good
-11.352325511953442,6.803967243309213,-596.4707307061308,C,Good
-12.272453584387009,10.046394435203293,-116.35986344512276,C,Good
-3.5849134200723523,6.7944276637307475,-36.644337619737826,C,Good
-5.181535512401154,4.588011804881549,-419.556835468274,C,Good
-3.147338910868653,9.96858556196871,-671.2722185855494,C,Good
-8.224060706060474,6.019111053898952,-820.8793129363762,C,Good
-11.57298125864317,2.604617872286312,-822.1996798558358,C,Good
-7.267895068362299,6.70607976554268,-480.4434670549201,C,Good
-2.4651671383550458,4.03984265391513,-832.9230665626073,C,Good
-7.4208789633939505,4.515623635320052,-685.4087321344256,C,Good
-11.584229241852588,10.347825871929416,-500.1109976192562,C,Good
-12.286393847887735,8.135821714508152,-427.90666470388487,C,Good
