X,Y,Z,Material,Classification
-9.983860218397464,8.238454902145378,-519.749779121683,C,Good
-12.082496558277658,9.088218385662149,-759.4409641283326,C,Good
0.5569943839013813,5.048032428863263,-197.4529282515773,C,Good
-0.2492219586951503,21.002941980482273,-974.9510210823476,C,Bad
0.3377657243261609,13.664064125597488,-48.726019533206795,A,Good
-6.665960398581523,21.865896707592896,-408.77839253630134,B,Good
-11.876888714380705,1.3724087327095305,-908.2888585831433,C,Good
-11.448206830968061,8.473519138940452,-511.17616888719647,C,Good
-2.359872127927755,19.647666394310505,-839.1853056262728,B,Good
-13.090594438613504,11.585507079380523,-293.55684048051205,A,Good
-2.431208203458967,25.79920469598888,-258.82654874842694,A,Good
-12.049859775408645,8.765444711129442,-258.1763441180567,C,Good
-3.568615909869278,7.024168494276892,-316.55511386894875,A,Bad
-0.12269719565981063,13.94880312321375,-774.5030215130562,B,Good
0.08336812467055665,9.965546035456164,-654.5799357724633,A,Good
-2.168736588011889,5.10399283867561,-106.94164845086243,C,Good
-8.1354960420652,3.7529594027267095,-647.5435460180734,B,Good
-0.42587163016079543,7.882602897373111,-322.90045870874724,A,Bad
-14.079304728356213,7.347646722249273,-933.6548511427471,A,Good
-4.1771507994581185,16.945390110386594,-579.4685302215289,C,Bad
-2.6556373900954204,20.235816676993956,-142.4956063592225,B,Good
-7.359722228047742,3.3638421217041383,-307.15759680632823,A,Good
-4.472559185197028,15.177023616009041,-537.2645271086353,B,Good
-4.733022630581535,4.4148181631530035,-255.76830782959428,C,Good
-2.897021012156145,7.45722907155044,-774.2320729547782,A,Good
-3.9696490684168735,4.338012104859004,-937.4609695313253,B,Bad
-5.913413869682778,29.539969161225812,-42.77647628572777,A,Good
-12.06085836436178,20.102607428000905,-381.62337189295977,A,Good
-9.593042233865507,3.3884240844653064,-300.42761718504744,A,Good
-4.882935492126563,6.669164148475549,-866.0841550339258,C,Bad
-1.9407393524056342,5.751630532071722,-87.31847527394484,B,Good
-3.5024002411734827,6.722840680855375,-249.90077110259233,B,Bad
-2.882545758703051,8.27341535302578,-737.7215106223969,C,Good
-8.8377377550132,17.556314010265865,-772.1889781749442,B,Good
-5.29811489447225,15.711682942009928,-241.67540105743308,B,Good
-3.186361442823272,14.875930931895185,-427.8904142418312,B,Good
-6.3272072646031,4.092924705161507,-751.34978192666,C,Good
-5.700478500425053,23.38672867689319,-500.72111255644563,B,Good
-4.175630353907938,29.78550333747061,-123.54903435407061,A,Good
-12.222726629805354,5.102859352120797,-562.5948324391493,C,Good
-9.18329411840255,4.669009473082542,-586.403208937503,C,Good
-0.989344996395614,2.812895516402186,-159.38474538582807,C,Good
-1.808007873763108,15.347598067334928,-342.5078258692183,A,Good
-12.398928648013356,32.42858300148151,-871.2371217047655,A,Good
-6.203893966450414,31.197335115174397,-969.35181734096,A,Good
-2.0113771859809795,2.110739044612574,-795.0320904285633,C,Good
-15.817899874763363,11.158241340095937,-562.3727240238788,A,Good
-7.653929537080256,1.3278772999208517,-529.501369168335,C,Good
-4.880327327820494,7.121182363362193,-705.2049866537811,C,Good
-12.459462384001615,7.636607235084368,-171.3240552173628,C,Good
-0.16978696968011242,1.9466745442568723,-605.9517202448342,C,Bad
-2.4036349043665677,28.481256658576044,-942.4118743023666,A,Good
-7.106505367068708,8.258837527828748,-157.27708077142677,B,Good
-11.360099290616205,23.664483134585353,-42.119625676875216,A,Good
-7.63833321998054,5.929654135934992,-269.26473472078294,B,Good
-5.461938489984416,21.50630636054929,-806.4059370139482,A,Good
-14.240042192133165,8.815762181538041,-940.232491437845,A,Good
-0.32773224449525173,7.949254184447659,-333.97693022341593,B,Good
-8.777714427449077,7.7335694275409566,-636.4506578482003,A,Good
-4.371523716006912,31.58020582675021,-784.0173656690961,A,Good
-5.109628099683769,10.663482225328359,-415.7637229195012,C,Good
-2.578333344935279,10.640970801084999,-770.0194955589343,B,Good
-7.6312748204600895,19.283229701980012,-664.0115901885436,C,Bad
-7.576808433877709,6.381349114528845,-89.02034235280678,B,Good
-8.699258939592454,1.5430331117950384,-776.0176190373161,C,Good
-1.890175018792025,1.4387920223514445,-837.5181282215515,B,Bad
-5.858121273420904,6.171707970435122,-29.139661331137518,A,Good
-10.623165751602745,3.74721401773291,-29.98437291310256,C,Good
-3.2563618911219745,7.261014766828415,-98.88012988013566,C,Good
-6.312327100861233,4.421461345656968,-543.8319608306447,C,Good
-0.43764358130744974,6.600290046571307,-858.0909379432564,C,Good
-15.426052737519118,23.28944525992258,-481.9670683048382,A,Good
-8.997280781554817,6.013567255908006,-601.153034877555,C,Good
-9.995832336766043,16.282845131949834,-568.1691049842141,B,Good
-13.239353555947865,9.989177009995299,-126.9862711226026,A,Good
-0.3493514549426129,7.656009908546435,-486.04204248311066,B,Bad
-10.27967711576259,3.771101102120306,-990.3551619380377,C,Good
-0.8160794624416141,22.693236289815285,-850.1200457391856,B,Good
-17.397109688939498,10.24859278056364,-606.6910628291521,A,Bad
-3.5902572056153836,5.577799337775781,-944.1293859792631,C,Good
-13.502899036251307,4.906392499670135,-290.6053787896848,A,Bad
